池田,ikeda,池_ike:田_da
石狩,ishikari,石_ishi:狩_kari
今金,imakane,今_ima:金_kane
岩内,iwanai,岩_iwa:内_nai
岩見沢,iwamizawa,岩_iwa:見_mi:沢_zawa
歌志内,utashinai,歌_uta:志_shi:内_nai
浦臼,urausu,浦_ura:臼_usu
浦河,urakawa,浦_ura:河_kawa
浦幌,urahoro,浦_ura:幌_horo
雨竜,uryuu,雨_u:竜_ryuu
江差,esashi,江_e:差_sashi
枝幸,esashi,枝_e:幸_sashi
恵庭,eniwa,恵_e:庭_niwa
江別,ebetsu,江_e:別_betsu
遠軽,engaru,遠_en:軽_garu
遠別,enbetsu,遠_en:別_betsu
雄武,oumu,雄_ou:武_mu
大空,oozora,大_oo:空_zora
奥尻,okushiri,奥_oku:尻_shiri
置戸,oketo,置_oke:戸_to
興部,okoppe,興_okop:部_pe
長万部,oshamanbe,長_osha:万_man:部_be
小樽,otaru,小_o:樽_taru
音威子府,otoineppu,音_oto:威_i:子_nep:府_pu
音更,otofuke,音_oto:更_fuke
乙部,otobe,乙_oto:部_be
帯広,obihiro,帯_obi:広_hiro
小平,obira,小_o:平_bira
上川,kamikawa,上_kami:川_kawa
上士幌,kamishihoro,上_kami:士_shi:幌_horo
上砂川,kamisunagawa,上_kami:砂_suna:川_gawa
上ノ国,kaminokuni,上_kami:ノ_no:国_kuni
上富良野,kamifurano,上_kami:富_fu:良_ra:野_no
神恵内,kamoenai,神_kamo:恵_e:内_nai
木古内,kikonai,木_ki:古_ko:内_nai
北広島,kitahiroshima,北_kita:広_hiro:島_shima
北見,kitami,北_kita:見_mi
喜茂別,kimobetsu,喜_ki:茂_mo:別_betsu
共和,kyouwa,共_kyou:和_wa
清里,kiyosato,清_kiyo:里_sato
釧路,kushiro,釧_kushi:路_ro
倶知安,kutchan,倶_kut:知_ch:安_an
栗山,kuriyama,栗_kuri:山_yama
黒松内,kuromatsunai,黒_kuro:松_matsu:内_nai
訓子府,kunneppu,訓_kun:子_nep:府_pu
剣淵,kenbuchi,剣_ken:淵_buchi
札幌,sapporo,札_sap:幌_poro
更別,sarabetsu,更_sara:別_betsu
様似,samani,様_sama:似_ni
